DataField,Flag,Usage,LITHIC,QRAILS,GPS,GALILEO,GALILEO-MESH,GALILEO-POME,GALILEO-FLEX,GALILEO-STANDARD-BULK,HIGHNOTE,QOLO,MARQETA,DC_BANK
#YOUR CUSTOM DATA GIVE FLAG RECEIVED AND INFORMATION WHAT COLUMN,,,,,,,,,,,,,,NA
#PREDEFINED DATA DO NOT CHANGE DATAFIELD NAME,,,,,,,,,,,,NA,,NA
CardStockID-Galileo,Received,"Grouping, Additional Identifier of product",NA,NA,NA,NA,NA,Pos_462_449,NA,NA,NA,NA,,NA
CardStockID-GalileoStaticBulk,Received ,"Grouping, Additional Identifier of product",NA,NA,NA,NA,NA,Pos_462_449,NA,NA,NA,NA,,NA
CardStockID,Received ,"Grouping, Additional Identifier of product",NA,NA,NA,NA,NA,Pos_462_449,NA,NA,NA,NA,D4_726_20,NA
OrderType,Received ,"Grouping, Additional identifier of product",NA,NA,NA,NA,NA,Pos_462_449,NA,NA,NA,H3_33_6,H2_173_5,Pos_488_1
Token,Received,"Mail-USPS-FEDEX-MAILMERGE, Confirmation_Report,Shipment_Report",Col_1,Col_1,xml_UID,Pos_447_12,Pos_447_12,Pos_447_12,Pos_447_12,Pos_447_12,Col_1,D4_3_20,D4_2963_36,Pos_1_16
PAN,Received,DataPrep,Col_2,Col_2,xml_CARD.CHIP.PAN,Pos_36_19,Pos_36_19,Pos_36_19,Pos_36_19,Pos_36_19,Col_2,D4_33_16,D4_532_19,Pos_41_19
ValidFrom,Received,Mail-MAILMERGE,Col_3,Col_3,xml_CARD.EMBOSS_START,NA,NA,NA,NA,NA,Col_3,D4_57_8,,NA
MemberSince,Received,Mail-MAILMERGE,Col_4,Col_4,NA,NA,NA,NA,NA,NA,Col_4,D4_65_8,D4_572_4,NA
ExpDate_MMYY,Received,TAGPL - otherwise not used,Col_5,NA,xml_CARD.EMBOSS_EXPIRY,Pos_59_4,Pos_59_4,Pos_59_4,Pos_59_4,Pos_59_4,Col_5,D4_49_8,D4_576_9,pos_60_5
FullName,Received,Mail-USPS-FEDEX-MAILMERGE,Col_6,Col_6,NA,Pos_285_40,Pos_285_40,Pos_285_40,Pos_285_40,Pos_285_40,Col_37,NA,D4_551_21,Pos_343_30
FirstNameCarrier,Received,Mail-USPS-FEDEX-MAILMERGE,NA,NA,xml_CARRIER.FNAME,NA,NA,NA,NA,NA,NA,D4_125_100,D4_3_100,NA
LastNameCarrier,Received,Mail-USPS-FEDEX-MAILMERGE,NA,NA,xml_CARRIER.SNAME,NA,NA,NA,NA,NA,NA,D4_225_100,D4_103_100,NA
EmbName,Received,"DataPrep,Conf_Report,Ship_Report",Col_6,Col_6,xml_CARD.EMBOSS_NAME,Pos_63_28,Pos_91_28,Pos_63_28,Pos_63_28,Pos_63_28,Col_6,D4_73_26,D4_551_21,Pos_291_26
CompanyName,Received,"DataPrep, Mail-USPS-FEDEX-MAILMERGE",Col_7,Col_7,xml_CARD.THERMAL_LINE1,NA,Pos_91_28,NA,NA,NA,Col_40,NA,,Pos_317_26
EmbossLine4,Received,DataPrep-MAIL,NA,NA,xml_CARD.EMBOSS_LINE4,NA,NA,NA,NA,NA,Col_7,D4_99_26,D4_588_21,Pos_761_14
CVV1,Received,TAGPL - otherwise not used,Col_8,NA,NA,NA,NA,NA,NA,NA,Col_8,D4_880_3,D4_2960_3,NA
CVC2,Received,DataPrep,Col_9,Col_9,xml_CARD.EMBOSS_CVC2,NA,NA,NA,NA,NA,Col_9,D4_883_3,D4_585_3,pos_288_3
ICVV,Received,TAGPL - otherwise not used,Col_10,NA,NA,NA,NA,NA,NA,NA,Col_10,D4_2257_16,D4_2960_3,NA
PSN,Received,DataPrep,Col_11,Col_11,xml_CARD.CHIP.PAN_SEQ,NA,NA,NA,NA,NA,Col_11,NA,,pos_284_2
ServiceCode,Received,TAGPL - otherwise not used,Col_12,NA,xml_CARD.CHIP.SERVICE_CODE,NA,NA,NA,NA,NA,Col_12,D4_890_3,,NA
DDAAccount,Received,Mail-MAILMERGE,Col_13,Col_12,NA,NA,NA,NA,NA,NA,Col_13,NA,,NA
Address1,Received,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",Col_14,Col_14,xml_CARRIER.ADD1,Pos_325_40,Pos_325_40,Pos_325_40,NA,NA,Col_14,D4_325_100,D4_203_100,Pos_373_40
Address2,Received,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",Col_15,Col_15,xml_CARRIER.ADD2,Pos_365_40,Pos_365_40,Pos_365_40,NA,NA,Col_15,D4_425_100,D4_303_100,Pos_413_40
City,Received,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",Col_16,Col_16,xml_CARRIER.CITY,Pos_405_30,Pos_405_30,Pos_405_30,NA,NA,Col_16,D4_525_100,D4_403_50,Pos_453_20
State,Received,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",Col_17,Col_17,NA,Pos_435_2,Pos_435_2,Pos_435_2,NA,NA,Col_17,D4_625_50,D4_453_20,Pos_473_2
PostalCode,Received,Mail-USPS,Col_18,Col_18,xml_CARRIER.POSTCODE,Pos_437_10,Pos_437_10,Pos_437_10,NA,NA,Col_18,D4_675_25,D4_473_9,Pos_475_10
Country,Received,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",Col_19,Col_19,xml_CARRIER.COUNTRY,NA,NA,Pos_459_3,NA,NA,Col_19,D4_700_50,D4_482_50,Pos_485_3
Currency,Received,Mail-MAILMERGE,Col_20,Col_19,NA,NA,NA,NA,NA,NA,Col_20,NA,,NA
BulkID,Received,Mail-BULK,Col_21,Col_21,NA,NA,Pos_470_7,NA,NA,NA,Col_21,H3_1640_10,H2_23_10,NA
BulkData,Received,Mail-BULK,NA,NA,NA,NA,Pos_477_80,NA,NA,NA,NA,NA,,NA
BulkCompany,Received,Mail-BULK,Col_22,Col_22,,NA,NA,NA,NA,NA,Col_22,H3_945_100,,NA
BulkFullName,Received,Mail-BULK,Col_23,Col_23,NA,NA,NA,NA,NA,Pos_285_40,Col_23,H3_1045_100,,NA
BulkFirstName,Received,Mail-BULK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2_180_100,NA
BulkLastName,Received,Mail-BULK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2_280_100,NA
BulkRecipientPhone,Received,Mail-BULK,Col_24,NA,NA,NA,NA,NA,NA,NA,Col_24,H3_1570_20,,NA
BulkAddress1,Received,Mail-BULK,Col_25,Col_25,xml_CARRIER.BULK_ADD1,NA,Pos_557_20,NA,Pos_325_40,Pos_325_40,Col_25,H3_1145_100,H2_380_100,Pos_491_40
BulkAddress2,Received,Mail-BULK,Col_26,Col_26,xml_CARRIER.BULK_ADD2,NA,Pos_577_20,NA,Pos_365_40,Pos_365_40,Col_26,H3_1245_100,H2_480_100,Pos_531_40
#BulkAddress3,Received,Mail-BULK,Col_27,Col_26,xml_CARRIER.BULK_ADD3,NA,Pos_597_20,NA,Pos_405_40,Pos_405_40,Col_27,NA,,NA
BulkCity,Received,Mail-BULK,Col_27,Col_27,xml_CARRIER.BULK_CITY,NA,Pos_597_20,NA,Pos_405_30,Pos_405_30,Col_27,H3_1345_100,H2_580_50,Pos_571_20
BulkState,Received,Mail-BULK,Col_28,Col_28,xml_CARRIER.BULK_COUNTY,NA,Pos_617_2,NA,Pos_435_2,Pos_435_2,Col_28,H3_1445_50,H2_630_20,Pos_591_2
BulkPostalCode,Received,Mail-BULK,Col_29,Col_29,xml_CARRIER.BULK_POSTCODE,NA,Pos_619_9,NA,Pos_437_10,Pos_437_10,Col_29,H3_1495_25,H2_650_9,Pos_593_10
ShippingServiceCode,Received,Grouping,Col_30,Col_30,xml_CARRIER.DELV_METHOD,Pos_32_1,Pos_32_1,Pos_32_1,Pos_32_1,Pos_32_1,Col_30,H3_309_10,H2_178_2,NA
RushCode,Received,TAGPL - otherwise not used,Col_31,NA,NA,NA,NA,NA,NA,NA,Col_31,NA,,NA
BulkCountry,Received,Mail-BULK,Col_32,Col_32 ,xml_CARRIER.BULK_COUNTRY,NA,Pos_628_3,NA,NA,NA,Col_32,H3_1520_50,H2_659_50,Pos_603_3
ImageID,Received,Card-MAIL,NA,NA,xml_CARD.IMAGE_ID,NA,Pos_91_28,NA,NA,NA,Col_33,H3_89_200,,Pos_775_5
ImageIDFront,Received,Mail-MAILMERGE,Col_33,Col_33,xml_CARD.LOGO_FRONT_ID,NA,NA,NA,NA,NA,NA,NA,,NA
ImageIDBack,Received,Mail-MAILMERGE,Col_34,Col_34,xml_CARD.LOGO_BACK_ID,NA,NA,NA,NA,NA,NA,NA,,NA
NotUsed1,Received,TAGPL - otherwise not used,Col_35,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
NotUsed2,Received,TAGPL - otherwise not used,Col_36,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
NotUsed3,Received,TAGPL - otherwise not used,Col_37,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
